layer,layerのカウント
01100_sapporo-shi_2020,"646,475"
01205_muroran-shi_2022,"55,906"
01639_sarabetsu-mura_2022,"6,801"
02208_mutsu-shi_2022,"73,235"
03201_morioka-shi_2022,"113,276"
04100_sendai-shi_2022,"418,409"
07203_koriyama-shi_2020,"134,206"
07204_iwaki-shi_2020,"235,064"
07205_shirakawa-shi_2020,"62,705"
07212_minamisouma-shi_2022,"74,990"
08220_tsukuba-shi_2022,"190,629"
08234_hokota-shi_2022,"66,699"
09201_utsunomiya-shi_2020,"293,465"
10203_kiryu-shi_2020,"80,033"
10207_tatebayashi-shi_2020,"63,926"
11100_saitama-shi_2022,"492,115"
11202_kumagaya-shi_2020,"163,043"
11224_toda-shi_2022,"28,871"
11230_niiza-shi_2020,"55,983"
11238_hasuda-shi_2022,"41,860"
11326_moroyama-machi_2020,"24,418"
12210_mobara-shi_2022,"85,354"
12217_kashiwa-shi_2020,"169,223"
12221_yachiyo-shi_2022,"69,868"
13100_tokyo23-ku_2022,"1,768,280"
13201_hachioji-shi_2022,"182,257"
13213_higashimurayama-shi_2020,"43,851"
13229_nishitokyo-shi_2022,"49,816"
14100_yokohama-shi_2022,"882,277"
14130_kawasaki-shi_2022,"305,720"
14150_sagamihara-shi_2020,"250,113"
14201_yokosuka-shi_2020,"148,202"
14382_hakone-machi_2020,"14,240"
15100_niigata-shi_2022,"406,681"
17201_kanazawa-shi_2020,"213,919"
17206_kaga-shi_2022,"52,886"
19201_kofu-shi_2022,"121,880"
20202_matsumoto-shi_2020,"183,959"
20204_okaya-shi_2022,"40,030"
20209_ina-shi_2020,"75,934"
20214_chino-shi_2022,"69,727"
20217_saku-shi_2022,"91,323"
21201_gifu-shi_2022,"255,077"
21211_minokamo-shi_2022,"65,251"
22100_shizuoka-shi_2022,"326,522"
22203_numazu-shi_2021,"112,954"
22205_atami-shi_2022,"23,362"
22206_mishima-shi_2022,"56,741"
22207_fujinomiya-shi_2022,"95,803"
22208_ito-shi_2022,"46,893"
22210_fuji-shi_2022,"134,640"
22211_iwata-shi_2022,"91,641"
22212_yaizu-shi_2022,"66,496"
22213_kakegawa-shi_2020,"111,046"
22214_fujieda-shi_2022,"69,054"
22215_gotenba-shi_2022,"46,836"
22216_fukuroi-shi_2022,"59,296"
22219_shimoda-shi_2022,"15,679"
22220_susono-shi_2022,"22,957"
22221_kosai-shi_2022,"35,479"
22222_izu-shi_2022,"31,832"
22223_omaezaki-shi_2022,"26,872"
22224_kikugawa-shi_2020,"35,603"
22225_izunokuni-shi_2022,"27,657"
22226_makinohara-shi_2022,"38,705"
22301_higashiizu-cho_2022,"11,131"
22302_kawazu-cho_2022,"7,085"
22304_minamiizu-cho_2022,"9,920"
22325_kannami-cho_2022,"19,322"
22341_shimizu-cho_2022,"13,472"
22342_nagaizumi-cho_2022,"14,951"
22344_oyama-cho_2022,"11,706"
22424_yoshida-cho_2022,"21,773"
22461_mori-machi_2022,"11,982"
23100_nagoya-shi_2020,"729,243"
23202_okazaki-shi_2020,"214,053"
23206_kasugai-shi_2022,"175,461"
23207_toyokawa-shi_2022,"134,987"
23208_tsushima-shi_2020,"34,482"
23212_anjo-shi_2020,"105,734"
23230_nisshin-shi_2022,"47,060"
24202_yokkaichi-shi_2022,"223,373"
24212_kumano-shi_2022,"29,819"
26100_kyoto-shi_2022,"506,471"
27100_osaka-shi_2022,"616,319"
27140_sakai-shi_2022,"307,278"
27203_toyonaka-shi_2020,"124,882"
27204_ikeda-shi_2020,"45,309"
27207_takatsuki-shi_2020,"110,221"
27216_kawachinagano-shi_2022,"42,679"
27221_kashiwara-shi_2022,"28,409"
27224_settsu-shi_2020,"25,537"
27341_tadaoka-cho_2020,"8,018"
28210_kakogawa-shi_2020,"122,203"
28225_asago-shi_2022,"12,615"
30201_wakayama-shi_2022,"186,564"
30422_taiji-cho_2021,"2,909"
31201_tottori-shi_2020,"82,738"
34100_hirosima-shi_2022,"369,899"
34202_kure-shi_2020,"118,299"
34207_fukuyama-shi_2020,"327,578"
34208_fuchu-shi_2022,"25,368"
34304_kaita-cho_2021,"10,923"
37201_takamatsu-shi_2022,"268,154"
38201_matsuyama-shi_2020,"293,861"
40100_kitakyushu-shi_2020,"311,150"
40130_fukuoka-shi_2022,"355,491"
40203_kurume-shi_2020,"102,376"
40205_iizuka-shi_2020,"94,882"
40220_munakata-shi_2020,"68,199"
40225_ukiha-shi_2022,"28,700"
41206_takeo-shi_2022,"37,246"
41208_ogi-shi_2022,"31,940"
41423_omachi-cho_2022,"5,680"
41424_kouhoku-machi_2022,"8,788"
41425_shiroisi-chou_2022,"27,741"
43100_kumamoto-shi_2022,"236,942"
43204_arao-shi_2020,"46,431"
43206_tamana-shi_2020,"47,247"
43443_mashiki-machi_2020,"18,653"
44204_hita-shi_2020,"35,058"
45203_nobeoka-shi_2022,"65,797"
47201_naha-shi_2020,"63,198"
